,fips,hrr
2264430,42001,352
2264431,42001,363
2264432,42001,352
2264433,42001,363
2264434,42001,352
2264435,42001,363
2264436,42001,352
2264437,42001,363
2264438,42001,352
2264439,42001,363
2264440,42001,352
2264441,42001,363
2264442,42001,352
2264443,42001,363
2264444,42001,352
2264445,42001,363
2264446,42001,352
2264447,42001,363
2264448,42001,352
2264449,42001,363
2264450,42001,352
2264451,42001,363
2264452,42001,352
2264453,42001,363
2264454,42001,352
2264455,42001,363
2264456,42001,352
2264457,42001,363
2264458,42001,352
2264459,42001,363
2264460,42001,352
2264461,42001,363
2264462,42001,352
2264463,42001,363
2264464,42001,352
2264465,42001,363
2264466,42001,352
2264467,42001,363
2264468,42001,352
2264469,42001,363
2264470,42001,352
2264471,42001,363
2264472,42001,352
2264473,42001,363
2264474,42001,352
2264475,42001,363
2264476,42001,352
2264477,42001,363
2264478,42001,352
2264479,42001,363
2264480,42001,352
2264481,42001,363
2264482,42001,352
2264483,42001,363
2264484,42001,352
2264485,42001,363
2264486,42001,352
2264487,42001,363
2264488,42001,352
2264489,42001,363
2264490,42001,352
2264491,42001,363
2264492,42001,352
2264493,42001,363
2264494,42001,352
2264495,42001,363
2264496,42001,352
2264497,42001,363
2264498,42001,352
2264499,42001,363
2264500,42001,352
2264501,42001,363
2264502,42001,352
2264503,42001,363
